Methuen Police Department, MA,5
Alachua County Sheriff's Office, FL,5
Pasco County Sheriff's Office, FL,5
Allegheny County Sheriff's Office, PA,5
Etowah County Sheriff's Office, AL,5
Superior Police Department, WI,5
Okfuskee County Sheriff's Office, OK,5
Shelbyville Police Department, TN,5
High Point Police Department, NC,5
St. Charles Police Department, MO,5
Burbank Police Department, CA,5
Lincoln Park District Police Department, IL,5
Elmira Police Department, NY,5
St. Louis and San Francisco Railroad Police Department, RR,5
Fairfield County Sheriff's Department, SC,5
Portland Police Department, ME,5
Halifax County Sheriff's Office, NC,5
Cape Girardeau Police Department, MO,5
Bay County Sheriff's Office, FL,5
Sapulpa Police Department, OK,5
Missouri Pacific Railroad Police Department, RR,5
Kingsport Police Department, TN,5
Lake County Sheriff's Office, FL,5
South Carolina State Constable, SC,5
Wyoming Department of Game and Fish, WY,5
Lewis County Sheriff's Office, WA,5
Boulder Police Department, CO,5
McCreary County Sheriff's Office, KY,5
Walker County Sheriff's Office, AL,5
Okaloosa County Sheriff's Office, FL,5
Polk County Sheriff's Department, TN,5
Osage County Sheriff's Office, OK,5
Lynch Police Department, KY,5
Lewiston Police Department, ID,5
Columbia Police Department, SC,5
Santa Barbara Police Department, CA,5
Holyoke Police Department, MA,5
Clark County Sheriff's Department, WA,5
United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement, US,5
Avery County Sheriff's Office, NC,5
Homestead Police Department, FL,5
Adams County Sheriff's Office, CO,5
Bethlehem Police Department, PA,5
Evarts Police Department, KY,5
Beaufort County Sheriff's Department, SC,5
Beverly Hills Police Department, CA,5
Erie County Sheriff's Office, NY,5
Saline County Sheriff's Department, IL,5
Fort Wayne Police Department, IN,5
Lafayette Police Department, LA,5
Scioto County Sheriff's Office, OH,5
Hallandale Police Department, FL,5
Jacksonville Police Department, AL,5
Bloomington Police Department, IN,5
Passaic Police Department, NJ,5
Union City Police Department, NJ,5
Hayward Police Department, CA,5
Mishawaka Police Department, IN,5
Gallup Police Department, NM,5
Winston County Sheriff's Office, AL,5
Wyandotte County Sheriff's Office, KS,5
Tullahoma Police Department, TN,5
Hidalgo County Sheriff's Office, TX,5
Washoe County Sheriff's Office, NV,5
Turlock Police Department, CA,5
Gainesville Police Department, FL,5
Florida State Beverage Department, FL,5
Stamford Police Department, CT,5
South Dakota Highway Patrol, SD,5
Maui County Police Department, HI,5
Pasadena Police Department, TX,5
Maryland Natural Resources Police, MD,5
United States Department of Justice - Immigration and Naturalization Service - Detention and Deportation, US,5
Charleston County Police Department, SC,5
District of Columbia Department of Corrections, DC,5
Clayton County Police Department, GA,5
Garden Grove Police Department, CA,5
Cobb County Police Department, GA,5
Nevada Highway Patrol, NV,5
Sunnyvale Department of Public Safety, CA,5
Upton County Sheriff's Department, TX,5
Brevard County Sheriff's Office, FL,5
Hialeah Police Department, FL,5
Wayne County Sheriff's Department, MI,5
Worcester Police Department, MA,5
Arkansas Game and Fish Commission, AR,5
Pecos County Sheriff's Department, TX,5
Mississippi Department of Public Safety - Bureau of Narcotics, MS,5
Aurora Police Department, CO,5
Odessa Police Department, TX,5
Vermont State Police, VT,5
Chandler Police Department, AZ,5
United States Department of Justice - Bureau of Alcohol, Tobacco, Firearms and Explosives, US,5
New York City Watch, NY,4
Dubois County Sheriff's Department, IN,4
Laurel County Sheriff's Department, KY,4
Estill County Sheriff's Department, KY,4
Llano County Sheriff's Office, TX,4
Brown County Sheriff's Department, TX,4
Bannock County Sheriff's Department, ID,4
Cedar County Sheriff's Office, MO,4
Spokane County Sheriff's Department, WA,4
Lamar County Sheriff's Department, TX,4
Jack County Sheriff's Department, TX,4
Marysville Police Department, CA,4
Ouachita Parish Sheriff's Office, LA,4
Muscatine Police Department, IA,4
Clinton County Sheriff's Department, KY,4
Junction City Police Department, KS,4
Anaheim Police Department, CA,4
Aroostook County Sheriff's Department, ME,4
Provo Police Department, UT,4
Bosque County Sheriff's Office, TX,4
Paris Police Department, TX,4
Plymouth Police Department, MA,4
Lander County Sheriff's Office, NV,4
Lewis County Sheriff's Department, KY,4
Dodge City Police Department, KS,4
Wood County Sheriff's Department, TX,4
Williamson County Sheriff's Office, TX,4
Gallatin County Sheriff's Department, MT,4
Bell County Sheriff's Office, TX,4
St. Francois County Sheriff's Office, MO,4
Sumner County Sheriff's Office, KS,4
Cooke County Sheriff's Department, TX,4
Norwich Police Department, CT,4
San Carlos Apache Tribal Police Department, TR,4
Frankfort Police Department, KY,4
Lynchburg Police Department, VA,4
